file,phase,strain,area,mean,minimum,maximum,bg_mean,measured_by,exp_id
drdr1_exp_1,exp,drdr1,878,951.131,683,1256,252.696,N,1
drdr1_exp_1,exp,drdr1,436,645.828,449,991,252.696,N,1
drdr1_exp_1,exp,drdr1,892,856.377,599,1156,252.696,N,1
drdr1_exp_1,exp,drdr1,876,728.099,498,1017,252.696,N,1
drdr1_exp_1,exp,drdr1,910,724.034,565,935,252.696,N,1
drdr1_exp_1,exp,drdr1,784,824.583,530,1041,252.696,N,1
drdr1_exp_1,exp,drdr1,356,610.323,469,890,252.696,N,1
drdr1_exp_2,exp,drdr1,1140,635.812,373,977,264.671,S,1
drdr1_exp_2,exp,drdr1,812,613.687,462,747,264.671,S,1
drdr1_exp_2,exp,drdr1,926,565.116,374,725,264.671,S,1
drdr1_exp_2,exp,drdr1,952,709.978,466,921,264.671,S,1
drdr1_exp_2,exp,drdr1,1034,700.383,465,944,264.671,S,1
drdr1_exp_2,exp,drdr1,512,500.98,368,675,264.671,S,1
drdr1_exp_3,exp,drdr1,968,864.561,651,1107,256.971,N,1
drdr1_exp_3,exp,drdr1,890,929.656,680,1154,256.971,N,1
drdr1_exp_3,exp,drdr1,494,571.68,402,807,256.971,N,1
drdr1_exp_3,exp,drdr1,920,955.748,609,1243,256.971,N,1
drdr1_exp_3,exp,drdr1,348,565.966,442,717,256.971,N,1
drdr1_exp_3,exp,drdr1,812,746.133,509,1095,256.971,N,1
drdr1_exp_4,exp,drdr1,986,901.941,524,1232,236.729,S,1
drdr1_exp_4,exp,drdr1,1091,801.538,602,1144,236.729,S,1
drdr1_exp_4,exp,drdr1,1073,987.454,733,1322,236.729,S,1
drdr1_exp_4,exp,drdr1,812,735.53,556,1250,236.729,S,1
drdr1_exp_4,exp,drdr1,1034,596.169,413,794,236.729,S,1
drdr1_exp_4,exp,drdr1,915,518.317,413,663,236.729,S,1
drdr1_exp_4,exp,drdr1,1136,681.02,532,918,236.729,S,1
drdr1_exp_4,exp,drdr1,843,490.905,359,615,236.729,S,1
drdr1_exp_4,exp,drdr1,212,493.759,363,597,236.729,S,1
drdr1_st_1,st,drdr1,846,180.372,139,225,206.495,N,1
drdr1_st_1,st,drdr1,934,301.855,224,380,206.495,N,1
drdr1_st_1,st,drdr1,230,238.113,176,303,206.495,N,1
drdr1_st_1,st,drdr1,842,182.686,113,227,206.495,N,1
drdr1_st_1,st,drdr1,844,252.828,184,320,206.495,N,1
drdr1_st_1,st,drdr1,728,243.67,192,302,206.495,N,1
drdr1_st_1,st,drdr1,832,183.285,139,243,206.495,N,1
drdr1_st_1,st,drdr1,1008,190.995,151,253,206.495,N,1
drdr1_st_1,st,drdr1,698,195.244,137,245,206.495,N,1
drdr1_st_1,st,drdr1,948,191.674,137,248,206.495,N,1
drdr1_st_1,st,drdr1,800,188.784,137,230,206.495,N,1
drdr1_st_1,st,drdr1,1166,189.852,137,249,206.495,N,1
drdr1_st_1,st,drdr1,504,221.651,157,353,206.495,N,1
drdr1_st_1,st,drdr1,702,268.808,196,353,206.495,N,1
drdr1_st_1,st,drdr1,714,221.094,146,296,206.495,N,1
drdr1_st_1,st,drdr1,690,215.641,170,306,206.495,N,1
drdr1_st_1,st,drdr1,684,197.488,134,252,206.495,N,1
drdr1_st_1,st,drdr1,856,200.165,153,254,206.495,N,1
drdr1_st_1,st,drdr1,730,201.344,138,248,206.495,N,1
drdr1_st_1,st,drdr1,772,616.078,416,791,206.495,N,1
drdr1_st_1,st,drdr1,492,631.646,466,842,206.495,N,1
drdr1_st_1,st,drdr1,868,298.876,160,680,206.495,N,1
drdr1_st_1,st,drdr1,916,185.093,129,231,206.495,N,1
drdr1_st_1,st,drdr1,746,185.475,130,233,206.495,N,1
drdr1_st_1,st,drdr1,974,191.069,123,239,206.495,N,1
drdr1_st_1,st,drdr1,814,194.057,135,250,206.495,N,1
drdr1_st_1,st,drdr1,1184,195.595,133,254,206.495,N,1
drdr1_st_1,st,drdr1,706,214.458,143,284,206.495,N,1
drdr1_st_1,st,drdr1,676,196.441,154,261,206.495,N,1
drdr1_st_1,st,drdr1,768,194.878,139,246,206.495,N,1
drdr1_st_1,st,drdr1,858,192.105,131,252,206.495,N,1
drdr1_st_1,st,drdr1,806,205.599,155,263,206.495,N,1
drdr1_st_1,st,drdr1,616,208.657,152,266,206.495,N,1
drdr1_st_1,st,drdr1,782,344.168,253,450,206.495,N,1
drdr1_st_1,st,drdr1,846,201.322,156,257,206.495,N,1
drdr1_st_1,st,drdr1,618,202.359,146,250,206.495,N,1
drdr1_st_1,st,drdr1,738,199.444,149,261,206.495,N,1
drdr1_st_1,st,drdr1,786,191.77,154,231,206.495,N,1
drdr1_st_1,st,drdr1,816,201,141,272,206.495,N,1
drdr1_st_1,st,drdr1,794,194.674,137,245,206.495,N,1
drdr1_st_1,st,drdr1,928,205.441,150,261,206.495,N,1
drdr1_st_1,st,drdr1,774,205.258,165,260,206.495,N,1
drdr1_st_1,st,drdr1,682,208.519,156,262,206.495,N,1
drdr1_st_1,st,drdr1,600,208.905,152,263,206.495,N,1
drdr1_st_1,st,drdr1,672,207.332,158,273,206.495,N,1
drdr1_st_1,st,drdr1,978,197.097,152,253,206.495,N,1
drdr1_st_1,st,drdr1,1128,199.979,149,254,206.495,N,1
drdr1_st_1,st,drdr1,786,196.407,152,243,206.495,N,1
drdr1_st_1,st,drdr1,612,209.472,161,266,206.495,N,1
